scenario,model,seed,count,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude,a4_raw,mean_proposals
grid-equal-500,V,2026090703,900,147.60738785351523,273.6542984884122,326.6872426861576,371.72760605251636,0.025555555555555557,0.03194864162287307,0.03898981633824289,1.0
grid-equal-500,V,2026090704,900,143.07916265668268,274.8373263996777,324.02860754815833,406.8196781962072,0.022222222222222223,0.034887483788421284,0.030858305862130873,1.0
grid-equal-500,V,2026090705,900,141.9934109438138,272.76065861562137,316.9997363853846,363.52517203608545,0.017777777777777778,0.028208777941790157,0.0381383092332249,1.0
grid-equal-500,V,pooled,4500,143.14905518229773,273.6542984884122,322.5165565433958,406.8196781962072,0.02266666666666667,0.009112330115168753,0.02524154223057029,1.0
grid-equal-500,V300,2026090701,900,101.579049829951,190.56929394063118,223.6636794245863,261.3452706594085,0.0,0.18698225769169738,0.024831491281593652,1.9266666666666667
grid-equal-500,V300,2026090702,900,100.30275845511169,195.75880489656365,224.54317241910317,261.0421061761646,0.0,0.19095767093434246,0.01488506729978497,1.9777777777777779
grid-equal-500,V300,2026090703,900,105.4869129397529,196.84578652549519,230.54823096093796,266.6358386101704,0.0,0.15631062735155157,0.022468337675546672,1.9633333333333334
grid-equal-500,V300,2026090704,900,104.37434487514334,193.7029721633892,221.0274468778734,242.78308507892362,0.0,0.1662120142547246,0.03295621998967609,1.9855555555555555
grid-equal-500,V300,2026090705,900,102.81995986165963,192.4733173807712,223.56744342113487,256.2244925607169,0.0,0.1786969874052569,0.05100373219475425,1.9677777777777778
grid-equal-500,V300,pooled,4500,102.7695596689238,194.03808271396952,224.04144061736605,266.6358386101704,0.0,0.17427070164777828,0.009765119578758674,1.9642222222222223
grid-equal-5000,D,2026090701,9000,98.49939331879547,187.277846635341,224.1012771800148,280.57275434879807,0.0,0.2173646386085206,0.012495318302149101,1.0
grid-equal-5000,D,2026090702,9000,99.28031404231726,191.76742569120682,225.5566158861938,271.14107909353527,0.0,0.20937025593892222,0.005851616536169798,1.0
grid-equal-5000,D,2026090703,9000,98.5285225571775,189.04016249956953,223.05278194525843,279.5655704148596,0.0,0.2125883619132175,0.006241512887124535,1.0
grid-equal-5000,D,2026090704,9000,99.61658263622232,189.63548997752335,225.5991825251258,273.598482920862,0.0,0.20269051228690502,0.00873987348849927,1.0
grid-equal-5000,D,2026090705,9000,97.87033687731973,188.91925871755927,224.86896976271237,274.053126610298,0.0,0.21490693383431247,0.007829330110224056,1.0
grid-equal-5000,D,pooled,45000,98.75310284281477,189.37072806143496,224.42456119696038,280.57275434879807,0.0,0.2112676277754365,0.004087517154221818,1.0
grid-equal-5000,V,2026090701,9000,143.9632464985816,277.77150308239993,331.1857065288442,418.8190603593902,0.027666666666666666,0.0021365668833886143,0.020852558934948178,1.0
grid-equal-5000,V,2026090702,9000,146.15762593021938,278.27890345118595,326.97460217914204,411.97503998998627,0.026222222222222223,0.008861483335961115,0.015281927940808947,1.0
grid-equal-5000,V,2026090703,9000,144.34282058976933,277.0447390074345,326.73953017915323,413.1012251630883,0.026444444444444444,0.011294505959002192,0.030105694737224825,1.0
grid-equal-5000,V,2026090704,9000,146.8819913757698,279.19157217539544,327.7939759318268,426.3984492194718,0.02811111111111111,0.01171906863352733,0.027547612046371767,1.0
grid-equal-5000,V,2026090705,9000,143.59150840751357,276.7783748360894,327.9001372626621,419.26023413249203,0.026222222222222223,0.012731134568854224,0.02085796461329006,1.0
grid-equal-5000,V,pooled,45000,145.08953953085964,277.9584836072083,328.0512001980855,426.3984492194718,0.026933333333333333,0.0033052649663825903,0.022394023756990834,1.0
grid-equal-5000,V300,2026090701,9000,102.07405085092059,193.01301624617426,225.57735678057944,274.65225401859334,0.0,0.18258965128961452,0.008525116548934342,1.9412222222222222
grid-equal-5000,V300,2026090702,9000,101.39946059080845,191.83326671825435,224.56963986407231,275.79156041775104,0.0,0.18925672276865524,0.006405116155212006,1.9724444444444444
grid-equal-5000,V300,2026090703,9000,100.47731687861523,191.42180292294293,225.4720195569943,282.8646353677898,0.0,0.19477673399663994,0.019029321889694133,1.9538888888888888
grid-equal-5000,V300,2026090704,9000,100.36676264288637,190.8232566605819,226.30056030120605,272.630991705772,0.0,0.19347464035215495,0.01311440752994105,1.980888888888889
grid-equal-5000,V300,2026090705,9000,101.45083694958745,192.6207260103244,225.3110280407798,283.63138885501485,0.0,0.18926117024160657,0.005310755591470335,1.9211111111111112
grid-equal-5000,V300,pooled,45000,101.1777013784599,192.1436532014147,225.50544500129624,283.63138885501485,0.0,0.18979312421617214,0.004710607344811308,1.9539111111111112
grid-imbalanced-500,D,2026090701,900,99.93706523053574,187.9898222165901,230.42867427763935,262.7891238147811,0.0,0.20572652309494047,0.04703975968137105,1.0
grid-imbalanced-500,D,2026090702,900,99.13819446826123,187.54117519562678,221.31469699272262,276.70679115478123,0.0,0.20755153655456873,0.02096460320380543,1.0
grid-imbalanced-500,D,2026090703,900,99.61542051166745,192.71967194598585,222.25695155848237,257.5049502867112,0.0,0.20608254960525105,0.024586743581939973,1.0
grid-imbalanced-500,D,2026090704,900,97.25946991502398,195.72691619227965,229.69833133746084,253.5894744235707,0.0,0.20589549769514906,0.007957052155312224,1.0
grid-imbalanced-500,D,2026090705,900,103.15397907737817,191.32661332368454,230.07929947366827,267.1411444458283,0.0,0.19275485565291373,0.027400399737048484,1.0
grid-imbalanced-500,D,pooled,4500,99.9727390208567,190.66659672014956,227.71678254070315,276.70679115478123,0.0,0.2029910429437401,0.008851589846816147,1.0
grid-imbalanced-500,V,2026090701,900,151.00330365515254,275.2049243436743,315.93513454332805,385.30976693485326,0.021111111111111112,0.009262260921577054,0.022216739631241118,1.0
grid-imbalanced-500,V,2026090702,900,141.23872274681867,274.54610087038486,332.1906781630829,401.46068868675616,0.025555555555555557,0.029293031102723303,0.026734371010155824,1.0
grid-imbalanced-500,V,2026090703,900,140.96893325855328,273.2058652947448,325.96355781202016,383.60907907279557,0.022222222222222223,0.04666196941292815,0.019963518109490257,1.0
grid-imbalanced-500,V,2026090704,900,143.67149769823413,282.17861880459805,334.76321635756045,411.1478490086073,0.03222222222222222,0.01638842347482918,0.03053191543996362,1.0
grid-imbalanced-500,V,2026090705,900,144.06980953133026,276.56125407598114,322.977869244869,425.7730470777452,0.03,0.03952681684944584,0.041088408332790136,1.0
