protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,requested_count,generated_count,outer_count,inner_count,outer_area_m2,inner_area_m2,outer_share,inner_share,raw_density_ratio,observation_status,interpretation
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,2026090601,9000,9000,333,522,53721.23437638546,48066.36759992383,0.037,0.058,0.5707803992740472,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,2026090602,9000,9000,350,512,53721.23437638546,48066.36759992383,0.03888888888888889,0.05688888888888889,0.6116365131578948,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,2026090603,9000,9000,333,536,53721.23437638546,48066.36759992383,0.037,0.059555555555555556,0.5558719560094265,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,2026090604,9000,9000,344,525,53721.23437638546,48066.36759992383,0.03822222222222222,0.058333333333333334,0.5862656641604009,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-grid-equal-n5000-per-center,2026090605,9000,9000,302,521,53721.23437638546,48066.36759992383,0.033555555555555554,0.057888888888888886,0.5186382462875038,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,,500,500,13,37,53721.23437638546,48066.36759992383,0.026,0.074,0.31436699857752487,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,2026090601,100,100,2,5,53721.23437638546,48066.36759992383,0.02,0.05,0.3578947368421053,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,2026090602,100,100,1,14,53721.23437638546,48066.36759992383,0.01,0.14,0.06390977443609024,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,2026090603,100,100,5,3,53721.23437638546,48066.36759992383,0.05,0.03,1.4912280701754386,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,2026090604,100,100,2,6,53721.23437638546,48066.36759992383,0.02,0.06,0.2982456140350877,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n500,2026090605,100,100,3,9,53721.23437638546,48066.36759992383,0.03,0.09,0.2982456140350877,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,,5000,5000,187,279,53721.23437638546,48066.36759992383,0.0374,0.0558,0.5996981701565742,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,2026090601,1000,1000,35,53,53721.23437638546,48066.36759992383,0.035,0.053,0.5908639523336643,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,2026090602,1000,1000,44,61,53721.23437638546,48066.36759992383,0.044,0.061,0.645383951682485,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,2026090603,1000,1000,36,46,53721.23437638546,48066.36759992383,0.036,0.046,0.7002288329519452,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,2026090604,1000,1000,31,63,53721.23437638546,48066.36759992383,0.031,0.063,0.44026733500417714,inner-observed,descriptive-only
E001-v2,confirmation,C,c-s120-r300,confirmation-single-n5000,2026090605,1000,1000,41,56,53721.23437638546,48066.36759992383,0.041,0.056,0.6550751879699248,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,,4500,4500,1,12,53721.23437638546,48066.36759992383,2.2222222222222223E-4,0.0026666666666666666,0.07456140350877193,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,2026090601,900,900,0,3,53721.23437638546,48066.36759992383,0.0,0.0033333333333333335,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,2026090602,900,900,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,2026090603,900,900,0,4,53721.23437638546,48066.36759992383,0.0,0.0044444444444444444,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,2026090604,900,900,0,3,53721.23437638546,48066.36759992383,0.0,0.0033333333333333335,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n500-per-center,2026090605,900,900,1,2,53721.23437638546,48066.36759992383,0.0011111111111111111,0.0022222222222222222,0.44736842105263164,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,,45000,45000,5,150,53721.23437638546,48066.36759992383,1.1111111111111112E-4,0.0033333333333333335,0.029824561403508774,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,2026090601,9000,9000,0,38,53721.23437638546,48066.36759992383,0.0,0.004222222222222222,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,2026090602,9000,9000,0,23,53721.23437638546,48066.36759992383,0.0,0.0025555555555555557,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,2026090603,9000,9000,0,31,53721.23437638546,48066.36759992383,0.0,0.0034444444444444444,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,2026090604,9000,9000,2,33,53721.23437638546,48066.36759992383,2.2222222222222223E-4,0.0036666666666666666,0.05422647527910686,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-grid-equal-n5000-per-center,2026090605,9000,9000,3,25,53721.23437638546,48066.36759992383,3.333333333333333E-4,0.002777777777777778,0.10736842105263157,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,,500,500,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,2026090601,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,2026090602,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,2026090603,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,2026090604,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n500,2026090605,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,,5000,5000,0,12,53721.23437638546,48066.36759992383,0.0,0.0024,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,2026090601,1000,1000,0,1,53721.23437638546,48066.36759992383,0.0,0.001,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,2026090602,1000,1000,0,2,53721.23437638546,48066.36759992383,0.0,0.002,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,2026090603,1000,1000,0,4,53721.23437638546,48066.36759992383,0.0,0.004,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,2026090604,1000,1000,0,1,53721.23437638546,48066.36759992383,0.0,0.001,0.0,inner-observed,descriptive-only
E001-v2,confirmation,D,d-s120-r300,confirmation-single-n5000,2026090605,1000,1000,0,4,53721.23437638546,48066.36759992383,0.0,0.004,0.0,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,,4500,4500,1655,1228,32400.0,25200.0,0.36777777777777776,0.2728888888888889,1.0482265653275427,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,2026090601,900,900,339,260,32400.0,25200.0,0.37666666666666665,0.28888888888888886,1.014102564102564,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,2026090602,900,900,318,248,32400.0,25200.0,0.35333333333333333,0.27555555555555555,0.9973118279569891,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,2026090603,900,900,317,251,32400.0,25200.0,0.3522222222222222,0.2788888888888889,0.9822930500221336,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,2026090604,900,900,345,234,32400.0,25200.0,0.38333333333333336,0.26,1.1467236467236466,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n500-per-center,2026090605,900,900,336,235,32400.0,25200.0,0.37333333333333335,0.2611111111111111,1.1120567375886525,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,,45000,45000,16268,12600,32400.0,25200.0,0.3615111111111111,0.28,1.0041975308641975,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,2026090601,9000,9000,3279,2539,32400.0,25200.0,0.36433333333333334,0.2821111111111111,1.0044636996192726,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,2026090602,9000,9000,3286,2468,32400.0,25200.0,0.3651111111111111,0.2742222222222222,1.0355663605258418,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,2026090603,9000,9000,3237,2532,32400.0,25200.0,0.3596666666666667,0.2813333333333333,0.9943391258557134,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,2026090604,9000,9000,3299,2477,32400.0,25200.0,0.3665555555555556,0.2752222222222222,1.035885704032656,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-grid-equal-n5000-per-center,2026090605,9000,9000,3167,2584,32400.0,25200.0,0.35188888888888886,0.2871111111111111,0.9532593739250086,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,,500,500,175,160,32400.0,25200.0,0.35,0.32,0.8506944444444444,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,2026090601,100,100,37,30,32400.0,25200.0,0.37,0.3,0.9592592592592593,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,2026090602,100,100,31,34,32400.0,25200.0,0.31,0.34,0.7091503267973855,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,2026090603,100,100,33,31,32400.0,25200.0,0.33,0.31,0.8279569892473118,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,2026090604,100,100,42,27,32400.0,25200.0,0.42,0.27,1.2098765432098764,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n500,2026090605,100,100,32,38,32400.0,25200.0,0.32,0.38,0.6549707602339181,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,,5000,5000,1808,1395,32400.0,25200.0,0.3616,0.279,1.0080446037435284,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,2026090601,1000,1000,364,279,32400.0,25200.0,0.364,0.279,1.0147351652727998,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,2026090602,1000,1000,389,268,32400.0,25200.0,0.389,0.268,1.1289386401326702,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,2026090603,1000,1000,352,294,32400.0,25200.0,0.352,0.294,0.9312169312169312,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,2026090604,1000,1000,369,254,32400.0,25200.0,0.369,0.254,1.12992125984252,inner-observed,descriptive-only
E001-v2,review,A,a-square-300,review-ad-single-n5000,2026090605,1000,1000,334,300,32400.0,25200.0,0.334,0.3,0.8659259259259259,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,,4500,4500,1,19,53721.23437638546,48066.36759992383,2.2222222222222223E-4,0.004222222222222222,0.04709141274238227,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,2026090601,900,900,1,3,53721.23437638546,48066.36759992383,0.0011111111111111111,0.0033333333333333335,0.2982456140350877,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,2026090602,900,900,0,5,53721.23437638546,48066.36759992383,0.0,0.005555555555555556,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,2026090603,900,900,0,5,53721.23437638546,48066.36759992383,0.0,0.005555555555555556,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,2026090604,900,900,0,2,53721.23437638546,48066.36759992383,0.0,0.0022222222222222222,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n500-per-center,2026090605,900,900,0,4,53721.23437638546,48066.36759992383,0.0,0.0044444444444444444,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,,45000,45000,6,123,53721.23437638546,48066.36759992383,1.3333333333333334E-4,0.0027333333333333333,0.043645699614890884,inner-observed,descriptive-only
