protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,max.max,275.2495766933244,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,max.median,261.72838700137453,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,max.min,232.09934496260266,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p50.max,91.04190306594198,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p50.median,88.26105944704359,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p50.min,87.42059430425822,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p95.max,176.71079898107465,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p95.median,174.47968698983547,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p95.min,172.21765287110355,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p99.max,214.05162637931383,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p99.median,212.68304604277114,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,p99.min,200.87144164270381,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,violations.max,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,violations.median,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,radius,violations.min,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,samplerFailureCount,value,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,seam300,max,0.5079365079365079,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,seam300,median,0.2975140056022409,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,,seam300,min,0.2011363636363636,ratio,valid
