scene,model,seed,n,rms_m,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude
uniform-45000,G,2026090704,9000,166.84013585049505,138.3305426726797,290.8672568717159,353.82060137008574,491.72390363674884,0.041666666666666664,0.004563114610643601
uniform-45000,G,2026090705,9000,167.02875365648165,139.31804987066639,289.5295555237674,361.8879712827672,494.13359052110314,0.04077777777777778,0.010830544189660275
uniform-45000,G,pooled,45000,166.85834733074168,138.40047825266475,289.9363375571979,358.8715884231148,532.9926561031142,0.04088888888888889,0.004250173974331582
uniform-45000,L,2026090701,9000,166.32706756021238,114.06785114332618,322.29835111197985,449.16491920634644,889.516438506072,0.06544444444444444,0.006451417103931873
uniform-45000,L,2026090702,9000,167.2234074197363,114.11829306099959,323.7636620476778,460.5005149617055,906.8146753649148,0.06544444444444444,0.006940649583155006
uniform-45000,L,2026090703,9000,165.114282159507,112.92947820541045,322.8253874614085,454.28934866082494,728.4768124258501,0.06355555555555556,0.010771967358591136
uniform-45000,L,2026090704,9000,167.99532344754047,115.14998001085445,326.48982512978165,451.2654938929575,748.2294586364246,0.06866666666666667,0.016834486847034157
uniform-45000,L,2026090705,9000,163.74022262686626,112.77215968432621,316.24883614186376,448.79260657910993,811.1275673619209,0.06133333333333333,0.00891501225237125
uniform-45000,L,pooled,45000,166.0869511860791,113.84364320507161,322.1639469325985,454.9776625241283,906.8146753649148,0.06488888888888888,0.00466444129325617
hotspots-4500,D,2026090701,900,163.1948172699847,146.4121333623815,267.43121311774297,316.69639860489247,366.4717408638137,0.02,0.2189086590832039
hotspots-4500,D,2026090702,900,158.83282239839156,138.75422325330183,265.0896137505353,320.0486164898507,351.9943675365144,0.021111111111111112,0.22434673952961134
hotspots-4500,D,2026090703,900,162.54467447618612,140.0229381175647,273.48379758699053,327.7353350066011,368.71048596380905,0.025555555555555557,0.20527372402212432
hotspots-4500,D,2026090704,900,160.35905251070557,138.95089704062997,271.0101768414078,319.5961038896944,376.5021882437005,0.02,0.22807752744782256
hotspots-4500,D,2026090705,900,163.17898861684685,142.81480929689837,271.44477373826453,309.5929575140776,373.3375773622,0.017777777777777778,0.2435467948200086
hotspots-4500,D,pooled,4500,161.63142831982933,141.65484700135318,271.0101768414078,322.76894269823765,376.5021882437005,0.020888888888888887,0.22275358890831234
hotspots-4500,G,2026090701,900,167.39040743454825,139.97684019892304,294.9733390241869,371.0901653040227,437.24130856727993,0.044444444444444446,0.048524794642910304
hotspots-4500,G,2026090702,900,170.04358676765648,142.5781456920824,287.8869613513597,350.06692807795423,521.2293826662867,0.04555555555555556,0.01886699717473295
hotspots-4500,G,2026090703,900,168.32339996077894,141.42400523655374,283.86984865525096,356.09133524871726,434.6234636624148,0.03666666666666667,0.026181111970452864
hotspots-4500,G,2026090704,900,163.83273193492667,134.49309043691858,285.6635712515371,333.9613867507798,443.4618946092311,0.03777777777777778,0.04314416900632798
hotspots-4500,G,2026090705,900,165.61067374423172,138.90757387597824,284.9775194755913,338.95278522075444,416.80004294398105,0.035555555555555556,0.03574720240127178
hotspots-4500,G,pooled,4500,167.0540009622937,139.49685028559432,287.5542503563109,350.38521836156764,521.2293826662867,0.04,0.02106273616686394
hotspots-4500,L,2026090701,900,167.4726120578524,112.77560598920695,320.0762332076832,468.92755721517824,745.9616766455342,0.06111111111111111,0.024105908655215866
hotspots-4500,L,2026090702,900,159.8920972428398,108.6741925639319,306.33448520580447,441.4793393747911,504.1915834590039,0.05444444444444444,0.07868015528702003
hotspots-4500,L,2026090703,900,169.9888469090012,118.20313414883685,317.9143074835388,471.475524229635,916.6288336159242,0.06333333333333334,0.00896471027325241
hotspots-4500,L,2026090704,900,174.55659379899728,119.73790420537475,357.7959056567065,455.23177535876,773.3136702604985,0.07111111111111111,0.030049841897485646
hotspots-4500,L,2026090705,900,169.86669639070465,115.72787768679731,312.83128239825163,394.53974892592566,797.823269152763,0.06555555555555556,0.056587391687324795
hotspots-4500,L,pooled,4500,168.42414649036837,115.27400511124668,319.12779787286553,458.1387337571222,916.6288336159242,0.06311111111111112,0.0265268801849791
hotspots-45000,D,2026090701,9000,161.28373405248144,139.2551193880672,271.9847088420165,320.7779188528547,413.9519217963457,0.021777777777777778,0.22140687339894827
hotspots-45000,D,2026090702,9000,161.79228351753088,140.37929994570655,268.7048541135813,324.11596365242195,405.67418649075586,0.020444444444444446,0.218816151840625
hotspots-45000,D,2026090703,9000,161.5288922848531,140.0693355735714,269.196896217683,321.85974542419694,395.9937126970331,0.021333333333333333,0.210653155586423
hotspots-45000,D,2026090704,9000,162.04440291239285,141.51078436883864,270.57142822369235,318.5458832768153,397.9737676646271,0.02022222222222222,0.21737008592217844
hotspots-45000,D,2026090705,9000,162.59149268940416,140.74900607029397,269.6700871196733,323.6268152379816,414.6078021782532,0.020777777777777777,0.21516677794890868
hotspots-45000,D,pooled,45000,161.8487880267885,140.35844938947676,269.99724560286,321.85974542419694,414.6078021782532,0.02091111111111111,0.21655559412296133
hotspots-45000,G,2026090701,9000,166.6932333469498,138.64879927407085,287.62166849083593,353.19201809870526,549.1106743044096,0.038,0.009422401418314163
hotspots-45000,G,2026090702,9000,167.05720628654305,138.74072025343654,292.5073649952038,355.77995965228536,566.1656732201894,0.042,0.009971194316672205
hotspots-45000,G,2026090703,9000,166.55806947145933,138.14942312634227,288.6745326400124,358.29901730566473,488.71410335650245,0.03955555555555555,0.013802698986933449
hotspots-45000,G,2026090704,9000,166.38851541704594,139.17635738063632,289.086978482021,359.4740436882725,539.756975975539,0.04088888888888889,0.008187730752845387
hotspots-45000,G,2026090705,9000,167.06890035147146,138.98892401811912,287.1611730354543,357.7138956081764,576.6878544819265,0.03822222222222222,0.0060340422636834395
hotspots-45000,G,pooled,45000,166.75340491235707,138.73045098282375,289.1859515636815,357.1678597451119,576.6878544819265,0.039733333333333336,0.006276819058972357
hotspots-45000,L,2026090701,9000,165.78730901577137,113.67977815597398,321.2381245673325,450.1453082152246,852.0559845016401,0.06377777777777778,0.03212998371247233
hotspots-45000,L,2026090702,9000,167.81122586552192,114.98714230943287,324.72596225955107,460.9540620768578,905.5057371740645,0.06811111111111111,0.02650709512394888
hotspots-45000,L,2026090703,9000,165.812187578601,115.11878764489418,320.1889775049327,450.9152268701003,903.3819061624849,0.06355555555555556,0.02559261531865753
hotspots-45000,L,2026090704,9000,166.52524267827238,114.11389831894266,321.37273573147746,461.9034345445001,791.6386791422195,0.06577777777777778,0.021817635004433854
hotspots-45000,L,2026090705,9000,165.59713173408304,114.71499505235859,320.3329989731304,433.7370767778497,707.7101025840794,0.0661111111111111,0.028260319359839317
hotspots-45000,L,pooled,45000,166.30862118025908,114.56610537335199,321.55407361433396,452.6769876659697,905.5057371740645,0.06546666666666667,0.026069225813548397
